Datestamp,Active Student Cases,Total Student Cases,Active Staff Cases,Total Staff Cases,Quarantined Students,Quarantined Staff,Student Quarantine Factor,Staff Quarantine Factor,Change in Students Quarantined,% Change in Students Quarantined,% Students Quarantined,Change in Active Student Cases,% Change in Active Student Cases,% Students with Active Cases,Change in Total Student Cases,% Change in Total Student Cases,% of Students in Total Student Cases,Student Cases Resolved,Student Cases Newly Resolved,New Student Cases,Change in Staff Quarantined,% Change in Staff Quarantined,Change in Active Staff Cases,% Change in Active Staff Cases,Change in Total Staff Cases,% Change in Total Staff Cases,Staff Cases Resolved,Staff Cases Newly Resolved,New Staff Cases
2021-10-18,144,803,11,101,1405.0,28.0,9.756944444444445,2.5454545454545454,-40.0,-2.768166089965398,1.6529411764705884,-38,-20.87912087912088,0.16941176470588237,24,3.080872913992298,0.9447058823529413,659,62,24,1.0,3.7037037037037033,-3,-21.428571428571427,2,2.0202020202020203,90,5,2
2021-10-19,154,832,26,118,1461.0,41.0,9.487012987012987,1.5769230769230769,56.0,3.98576512455516,1.7188235294117646,10,6.944444444444445,0.1811764705882353,29,3.61145703611457,0.9788235294117646,678,19,29,13.0,46.42857142857143,15,136.36363636363635,17,16.831683168316832,92,2,17
2021-10-20,155,850,27,123,1433.0,47.0,9.245161290322581,1.7407407407407407,-28.0,-1.9164955509924708,1.6858823529411766,1,0.6493506493506493,0.18235294117647058,18,2.1634615384615383,1.0,695,17,18,6.0,14.634146341463413,1,3.8461538461538463,5,4.23728813559322,96,4,5
2021-10-21,155,882,24,125,1396.0,44.0,9.006451612903225,1.8333333333333333,-37.0,-2.5819958129797627,1.6423529411764706,0,0.0,0.18235294117647058,32,3.7647058823529407,1.0376470588235294,727,32,32,-3.0,-6.382978723404255,-3,-11.11111111111111,2,1.6260162601626018,101,5,2
2021-10-22,152,898,22,127,1379.0,41.0,9.072368421052632,1.8636363636363635,-17.0,-1.2177650429799427,1.6223529411764706,-3,-1.935483870967742,0.17882352941176471,16,1.8140589569160999,1.056470588235294,746,19,16,-3.0,-6.8181818181818175,-2,-8.333333333333332,2,1.6,105,4,2
2021-10-25,131,921,20,131,1336.0,35.0,10.198473282442748,1.75,-43.0,-3.118201595358956,1.571764705882353,-21,-13.815789473684212,0.15411764705882353,23,2.5612472160356345,1.0835294117647059,790,44,23,-6.0,-14.634146341463413,-2,-9.090909090909092,4,3.149606299212598,111,6,4
2021-10-26,145,946,19,134,1313.0,43.0,9.055172413793104,2.263157894736842,-23.0,-1.721556886227545,1.5447058823529412,14,10.687022900763358,0.17058823529411765,25,2.714440825190011,1.1129411764705883,801,11,25,8.0,22.857142857142858,-1,-5.0,3,2.2900763358778624,115,4,3
2021-10-27,153,972,24,140,1297.0,42.0,8.477124183006536,1.75,-16.0,-1.2185833968012185,1.5258823529411765,8,5.517241379310345,0.18,26,2.748414376321353,1.143529411764706,819,18,26,-1.0,-2.3255813953488373,5,26.31578947368421,6,4.477611940298507,116,1,6
2021-10-28,153,988,22,140,1283.0,40.0,8.38562091503268,1.8181818181818181,-14.0,-1.0794140323824208,1.5094117647058825,0,0.0,0.18,16,1.646090534979424,1.1623529411764706,835,16,16,-2.0,-4.761904761904762,-2,-8.333333333333332,0,0.0,118,2,0
2021-11-01,125,1026,12,142,1220.0,25.0,9.76,2.0833333333333335,-63.0,-4.910366328916601,1.4352941176470588,-28,-18.30065359477124,0.14705882352941177,38,3.8461538461538463,1.2070588235294117,901,66,38,-15.0,-37.5,-10,-45.45454545454545,2,1.4285714285714286,130,12,2
2021-11-02,150,1064,18,148,1280.0,30.0,8.533333333333333,1.6666666666666667,60.0,4.918032786885246,1.5058823529411764,25,20.0,0.17647058823529413,38,3.7037037037037033,1.251764705882353,914,13,38,5.0,20.0,6,50.0,6,4.225352112676056,130,0,6
2021-11-03,162,1094,22,153,1257.0,34.0,7.7592592592592595,1.5454545454545454,-23.0,-1.7968749999999998,1.4788235294117646,12,8.0,0.19058823529411764,30,2.819548872180451,1.2870588235294118,932,18,30,4.0,13.333333333333334,4,22.22222222222222,5,3.3783783783783785,131,1,5
2021-11-09,128,1167,22,168,1142.0,27.0,8.921875,1.2272727272727273,-115.0,-9.14876690533015,1.3435294117647059,-34,-20.98765432098765,0.15058823529411766,73,6.6727605118829985,1.3729411764705883,1039,107,73,-7.0,-20.588235294117645,0,0.0,15,9.803921568627452,146,15,15
2021-11-10,143,1196,17,169,1124.0,25.0,7.86013986013986,1.4705882352941178,-18.0,-1.5761821366024518,1.3223529411764705,15,11.71875,0.16823529411764707,29,2.4850042844901457,1.4070588235294117,1053,14,29,-2.0,-7.4074074074074066,-5,-22.727272727272727,1,0.5952380952380952,152,6,1
2021-11-11,155,1223,13,170,1244.0,18.0,8.025806451612903,1.3846153846153846,120.0,10.676156583629894,1.463529411764706,12,8.391608391608392,0.18235294117647058,27,2.25752508361204,1.4388235294117648,1068,15,27,-7.0,-28.000000000000004,-4,-23.52941176470588,1,0.591715976331361,157,5,1
2021-11-12,162,1246,12,170,1407.0,17.0,8.685185185185185,1.4166666666666667,163.0,13.10289389067524,1.655294117647059,7,4.516129032258064,0.19058823529411764,23,1.8806214227309894,1.4658823529411764,1084,16,23,-1.0,-5.555555555555555,-1,-7.6923076923076925,0,0.0,158,1,0
2021-11-15,142,1264,10,171,1369.0,14.0,9.640845070422536,1.4,-38.0,-2.700781805259417,1.6105882352941179,-20,-12.345679012345679,0.16705882352941176,18,1.4446227929373996,1.4870588235294118,1122,38,18,-3.0,-17.647058823529413,-2,-16.666666666666664,1,0.5882352941176471,161,3,1
2021-11-16,156,1300,8,172,1347.0,11.0,8.634615384615385,1.375,-22.0,-1.6070124178232286,1.5847058823529412,14,9.859154929577464,0.18352941176470589,36,2.848101265822785,1.5294117647058825,1144,22,36,-3.0,-21.428571428571427,-2,-20.0,1,0.5847953216374269,164,3,1
2021-11-17,182,1338,15,180,1324.0,21.0,7.274725274725275,1.4,-23.0,-1.7074981440237564,1.5576470588235294,26,16.666666666666664,0.21411764705882352,38,2.923076923076923,1.5741176470588234,1156,12,38,10.0,90.9090909090909,7,87.5,8,4.651162790697675,165,1,8
2021-11-18,182,1363,21,188,1285.0,33.0,7.06043956043956,1.5714285714285714,-39.0,-2.9456193353474323,1.511764705882353,0,0.0,0.21411764705882352,25,1.8684603886397608,1.6035294117647056,1181,25,25,12.0,57.14285714285714,6,40.0,8,4.444444444444445,167,2,8
2021-11-21,171,1424,16,195,1668.0,30.0,9.75438596491228,1.875,383.0,29.80544747081712,1.9623529411764706,-11,-6.043956043956044,0.20117647058823532,61,4.475421863536317,1.6752941176470588,1253,72,61,-3.0,-9.090909090909092,-5,-23.809523809523807,7,3.723404255319149,179,12,7
2021-11-22,171,1424,16,195,1348.0,22.0,7.883040935672515,1.375,-320.0,-19.18465227817746,1.5858823529411765,0,0.0,0.20117647058823532,0,0.0,1.6752941176470588,1253,0,0,-8.0,-26.666666666666668,0,0.0,0,0.0,179,0,0
2021-11-24,183,1484,25,207,1448.0,34.0,7.912568306010929,1.36,100.0,7.418397626112759,1.7035294117647057,12,7.017543859649122,0.21529411764705883,60,4.213483146067416,1.7458823529411767,1301,48,60,12.0,54.54545454545454,9,56.25,12,6.153846153846154,182,3,12
2021-11-29,95,1503,19,213,691.0,20.0,7.273684210526316,1.0526315789473684,-757.0,-52.27900552486188,0.8129411764705882,-88,-48.08743169398907,0.11176470588235295,19,1.280323450134771,1.7682352941176471,1408,107,19,-14.0,-41.17647058823529,-6,-24.0,6,2.898550724637681,194,12,6
2021-11-30,162,1596,25,226,806.0,28.0,4.9753086419753085,1.12,115.0,16.642547033285094,0.9482352941176472,67,70.52631578947368,0.19058823529411764,93,6.187624750499002,1.8776470588235294,1434,26,93,8.0,40.0,6,31.57894736842105,13,6.103286384976526,201,7,13
2021-12-01,201,1654,29,236,845.0,35.0,4.203980099502488,1.206896551724138,39.0,4.838709677419355,0.9941176470588234,39,24.074074074074073,0.2364705882352941,58,3.634085213032581,1.9458823529411764,1453,19,58,7.0,25.0,4,16.0,10,4.424778761061947,207,6,10
2021-12-02,231,1714,36,247,978.0,41.0,4.233766233766234,1.1388888888888888,133.0,15.7396449704142,1.1505882352941177,30,14.925373134328357,0.27176470588235296,60,3.6275695284159615,2.0164705882352942,1483,30,60,6.0,17.142857142857142,7,24.137931034482758,11,4.661016949152542,211,4,11
2021-12-03,266,1764,33,249,1121.0,40.0,4.214285714285714,1.2121212121212122,143.0,14.621676891615543,1.3188235294117647,35,15.151515151515152,0.3129411764705882,50,2.9171528588098017,2.0752941176470587,1498,15,50,-1.0,-2.4390243902439024,-3,-8.333333333333332,2,0.8097165991902834,216,5,2
2021-12-06,257,1825,35,257,1245.0,41.0,4.844357976653696,1.1714285714285715,124.0,11.061552185548617,1.4647058823529413,-9,-3.3834586466165413,0.30235294117647055,61,3.458049886621315,2.1470588235294117,1568,70,61,1.0,2.5,2,6.0606060606060606,8,3.2128514056224895,222,6,8
2021-12-07,297,1889,39,270,1551.0,60.0,5.222222222222222,1.5384615384615385,306.0,24.57831325301205,1.8247058823529412,40,15.56420233463035,0.3494117647058823,64,3.506849315068493,2.2223529411764704,1592,24,64,19.0,46.34146341463415,4,11.428571428571429,13,5.058365758754864,231,9,13
2021-12-08,339,1952,56,288,1796.0,82.0,5.297935103244837,1.4642857142857142,245.0,15.79626047711154,2.112941176470588,42,14.14141414141414,0.39882352941176474,63,3.335097935415564,2.2964705882352945,1613,21,63,22.0,36.666666666666664,17,43.58974358974359,18,6.666666666666667,232,1,18
2021-12-09,384,2026,56,292,2316.0,82.0,6.03125,1.4642857142857142,520.0,28.953229398663698,2.724705882352941,45,13.274336283185843,0.4517647058823529,74,3.790983606557377,2.3835294117647057,1642,29,74,0.0,0.0,0,0.0,4,1.3888888888888888,236,4,4
2021-12-10,432,2098,55,294,2588.0,81.0,5.9907407407407405,1.4727272727272727,272.0,11.744386873920552,3.044705882352941,48,12.5,0.5082352941176471,72,3.5538005923000986,2.468235294117647,1666,24,72,-1.0,-1.2195121951219512,-1,-1.7857142857142856,2,0.684931506849315,239,3,2
2021-12-13,364,2159,54,314,3004.0,85.0,8.252747252747254,1.5740740740740742,416.0,16.0741885625966,3.5341176470588236,-68,-15.74074074074074,0.42823529411764705,61,2.9075309818875117,2.54,1795,129,61,4.0,4.938271604938271,-1,-1.8181818181818181,20,6.802721088435375,260,21,20
2021-12-14,429,2266,53,324,2541.0,73.0,5.923076923076923,1.3773584905660377,-463.0,-15.412782956058587,2.9894117647058827,65,17.857142857142858,0.5047058823529411,107,4.955998147290412,2.6658823529411766,1837,42,107,-12.0,-14.117647058823529,-1,-1.8518518518518516,10,3.1847133757961785,271,11,10
2021-12-15,453,2338,62,342,2438.0,77.0,5.381898454746137,1.2419354838709677,-103.0,-4.053522235340417,2.868235294117647,24,5.594405594405594,0.5329411764705883,72,3.1774051191526915,2.7505882352941176,1885,48,72,4.0,5.47945205479452,9,16.9811320754717,18,5.555555555555555,280,9,18
2021-12-16,511,2444,62,355,2366.0,82.0,4.63013698630137,1.3225806451612903,-72.0,-2.9532403609515994,2.783529411764706,58,12.803532008830022,0.6011764705882353,106,4.533789563729684,2.875294117647059,1933,48,106,5.0,6.493506493506493,0,0.0,13,3.8011695906432745,293,13,13
2021-12-17,550,2522,59,358,2552.0,79.0,4.64,1.3389830508474576,186.0,7.861369399830938,3.0023529411764707,39,7.632093933463796,0.6470588235294118,78,3.1914893617021276,2.967058823529412,1972,39,78,-3.0,-3.6585365853658534,-3,-4.838709677419355,3,0.8450704225352111,299,6,3
2021-12-20,521,2639,45,370,2283.0,64.0,4.381957773512476,1.4222222222222223,-269.0,-10.540752351097177,2.6858823529411766,-29,-5.2727272727272725,0.6129411764705882,117,4.639175257731959,3.104705882352941,2118,146,117,-15.0,-18.9873417721519,-14,-23.728813559322035,12,3.35195530726257,325,26,12
2021-12-21,664,2845,42,376,2846.0,57.0,4.286144578313253,1.3571428571428572,563.0,24.66053438458169,3.348235294117647,143,27.447216890595012,0.7811764705882354,206,7.805987116331944,3.347058823529412,2181,63,206,-7.0,-10.9375,-3,-6.666666666666667,6,1.6216216216216217,334,9,6
2021-12-22,833,3061,45,386,3234.0,72.0,3.8823529411764706,1.6,388.0,13.633169360505972,3.804705882352941,169,25.451807228915662,0.98,216,7.592267135325131,3.6011764705882356,2228,47,216,15.0,26.31578947368421,3,7.142857142857142,10,2.6595744680851063,341,7,10
2021-12-23,923,3222,35,386,2980.0,54.0,3.228602383531961,1.542857142857143,-254.0,-7.854050711193568,3.505882352941177,90,10.804321728691477,1.0858823529411765,161,5.2597190460633785,3.790588235294118,2299,71,161,-18.0,-25.0,-10,-22.22222222222222,0,0.0,351,10,0
2021-12-24,1163,3562,46,408,3363.0,71.0,2.8916595012897677,1.5434782608695652,383.0,12.85234899328859,3.9564705882352937,240,26.00216684723727,1.368235294117647,340,10.552451893234016,4.1905882352941175,2399,100,340,17.0,31.48148148148148,11,31.428571428571427,22,5.699481865284974,362,11,22
